column,dtype,source,definition,unit,null_pct,example,notes
listing_id,int64,raw AirDNA,Unique listing identifier.,—,0.0,14948804,
host_id,str,raw AirDNA,Anonymous host identifier.,—,0.0,cb910e924e2d,
professional_management,object,raw AirDNA,Whether the listing is managed by a professional company.,True/False/null,47.8,False,~54% null in LDN raw — use professional_management_known to filter.
superhost,object,raw AirDNA,Whether the host has Airbnb Superhost status.,True/False,4.6,False,
cohost,object,raw AirDNA,Whether the listing has a cohost.,True/False/null,35.1,True,
neighborhood,str,raw AirDNA,District (BCN) or borough (LDN).,string,9.3,Sant Martí,LDN values are prefixed e.g. 'London Borough of Camden'.
subdivision,str,raw AirDNA,Barrio (BCN) or local neighbourhood (LDN).,string,9.3,el Camp de l'Arpa del Clot,Null in 9% BCN / 12% LDN. Main key for neighbourhood analysis.
latitude,float64,raw AirDNA (rescaled),Listing latitude in decimal degrees.,degrees,0.0,41.407,Raw value was ×1e8; rescaled in cleaning Section 7.5.
longitude,float64,raw AirDNA (rescaled),Listing longitude in decimal degrees.,degrees,0.0,2.182,Raw value was ×1e8; rescaled in cleaning Section 7.5.
listing_type,str,raw AirDNA,Full listing-type label e.g. 'Entire rental unit'.,string,0.0,Private room in rental unit,
room_type,str,raw AirDNA,Normalised room type.,entire_home|private_room|shared_room|hotel_room,0.0,private_room,
guests,float64,raw AirDNA,Max guests advertised.,count,14.1,2.0,
bedrooms,float64,raw AirDNA,Bedrooms.,count,15.7,1.0,
beds,float64,raw AirDNA,Beds.,count,1.3,1.0,
baths,int64,raw AirDNA,Bathrooms.,count,0.0,10,
num_reviews,float64,raw AirDNA,Total reviews to date.,count,0.2,27.0,
star_rating,float64,raw AirDNA (rescaled),"Average star rating, 0–5.",stars,16.2,4.72,Raw value was ×100; rescaled in cleaning Section 7.5.
registration,object,raw AirDNA,Whether a registration/licence is on record.,True/False/null,35.1,True,
ttm_revenue,float64,raw AirDNA,Trailing-twelve-month revenue.,EUR or GBP,26.9,24113.0,
ttm_days_booked,float64,raw AirDNA,Days booked in last 12 months.,days,26.9,155.0,Drives the 90-night breach flag.
ttm_avg_rate,float64,raw AirDNA,TTM average nightly rate.,EUR or GBP/night,26.9,144.7,
l90d_revenue,float64,raw AirDNA,Last-90-day revenue.,EUR or GBP,26.9,420.0,
l90d_occupancy,float64,raw AirDNA,Last-90-day occupancy ratio.,ratio 0–1,26.9,0.033,
l90d_revpar,float64,raw AirDNA,Last-90-day revenue per available room.,EUR or GBP,26.9,4.4,
months,str,raw AirDNA,Embedded JSON list of monthly performance.,JSON string,0.0,"[{""date"": 1614556800000, ""available_days"": 31, ""unavailable_",Exploded into *_monthly_metrics_clean.csv.
host_listing_count,int64,cleaning,Number of listings owned by this host across the dataset.,count,0.0,1,
multi_listing_host,bool,cleaning,host_listing_count > 1.,True/False,0.0,False,
host_5_plus_listings,bool,cleaning,host_listing_count >= 5.,True/False,0.0,False,
host_10_plus_listings,bool,cleaning,host_listing_count >= 10.,True/False,0.0,False,
entire_home_flag,bool,cleaning,room_type == 'entire_home'.,True/False,0.0,False,Tightened to explicit equality after audit.
professional_management_flag,bool,cleaning,"professional_management coerced to bool, nulls -> False.",True/False,0.0,False,Use with professional_management_known to filter to reported-only.
has_registration,bool,cleaning,registration is not null.,True/False,0.0,False,
has_subdivision,bool,cleaning Section 7.5,subdivision is not null.,True/False,0.0,True,Use to filter when aggregating at subdivision level.
professional_management_known,bool,cleaning Section 7.5,professional_management was reported (not null).,True/False,0.0,False,Filter on this for honest professional-management share.
