city,geo_key,geo_level,str_density,active_listings,entire_home_count,median_nightly_price,p25_price,p75_price,avg_occupancy,total_revenue,breach_count_90,breach_count_60,breach_count_30,reside_unregistered_count,multi_listing_host_count,commercial_host_share,entire_home_share,multi_listing_host_share,active_share,breach_rate_90,breach_rate_60,breach_rate_30,reside_unregistered_share,professional_management_share,tier_concentration_price,tier_sample_adequate,cluster_label,cluster_distance,risk_priority_score,subdivision,breach_rate,listings_impacted_90,listings_impacted_60,listings_impacted_30
barcelona,la Dreta de l'Eixample,subdivision,295,209,201,265.6,131.7,404.2,0.2296,11371501.0,95,111,119,59,192,0.2644,0.6814,0.6508,0.7085,0.4726,0.5522,0.592,0.2935,0.2795,tier_1,True,saturated,7.4753,100.0,la Dreta de l'Eixample,0.4726,95,111,119
barcelona,el Poble-sec,subdivision,118,80,83,211.2,106.9,273.15,0.2331,3173628.0,46,49,54,18,66,0.3644,0.7034,0.5593,0.678,0.5542,0.5904,0.6506,0.2169,0.2727,tier_1,True,saturated,3.0366,91.06,el Poble-sec,0.5542,46,49,54
barcelona,la Sagrada Família,subdivision,144,98,106,251.4,105.15,323.25,0.2455,4566898.0,53,57,61,30,69,0.2847,0.7361,0.4792,0.6806,0.5,0.5377,0.5755,0.283,0.2439,tier_1,True,saturated,3.3548,88.09,la Sagrada Família,0.5,53,57,61
barcelona,l'Antiga Esquerra de l'Eixample,subdivision,148,103,94,181.7,105.85,301.8,0.206,3982310.0,43,46,51,17,94,0.3446,0.6351,0.6351,0.6959,0.4574,0.4894,0.5426,0.1809,0.2727,tier_2,True,saturated,3.5162,86.19,l'Antiga Esquerra de l'Eixample,0.4574,43,46,51
barcelona,la Nova Esquerra de l'Eixample,subdivision,114,63,60,190.3,101.5,337.225,0.2415,2914637.0,31,34,36,19,65,0.4035,0.5263,0.5702,0.5526,0.5167,0.5667,0.6,0.3167,0.2917,tier_2,True,saturated,3.1619,83.68,la Nova Esquerra de l'Eixample,0.5167,31,34,36
barcelona,Sant Antoni,subdivision,79,54,51,219.95,120.9,319.1,0.2171,2477340.0,26,28,29,13,47,0.3291,0.6456,0.5949,0.6835,0.5098,0.549,0.5686,0.2549,0.3488,tier_1,True,saturated,2.1201,78.76,Sant Antoni,0.5098,26,28,29
barcelona,la Vila de Gràcia,subdivision,104,72,76,213.6,100.55,304.375,0.2275,2506987.0,34,39,43,20,54,0.25,0.7308,0.5192,0.6923,0.4474,0.5132,0.5658,0.2632,0.1961,tier_1,True,saturated,2.2046,78.19,la Vila de Gràcia,0.4474,34,39,43
barcelona,Sant Gervasi - Galvany,subdivision,44,35,32,182.6,134.1,243.1,0.1678,1062248.0,15,17,21,5,29,0.3182,0.7273,0.6591,0.7955,0.4688,0.5312,0.6562,0.1562,0.25,tier_3,True,saturated,1.6432,72.94,Sant Gervasi - Galvany,0.4688,15,17,21
barcelona,el Camp d'en Grassot i Gràcia Nova,subdivision,37,27,29,243.2,122.775,299.85,0.3199,1268444.0,19,20,20,6,12,0.1351,0.7838,0.3243,0.7297,0.6552,0.6897,0.6897,0.2069,0.0909,tier_2,True,emerging,1.5681,69.63,el Camp d'en Grassot i Gràcia Nova,0.6552,19,20,20
barcelona,"Sant Pere, Santa Caterina i la Ribera",subdivision,163,94,100,119.85,67.625,196.875,0.1226,1606504.0,31,35,40,39,76,0.1779,0.6135,0.4663,0.5767,0.31,0.35,0.4,0.39,0.2,tier_2,True,saturated,3.4532,69.32,"Sant Pere, Santa Caterina i la Ribera",0.31,31,35,40
