borough,str_density,entire_home_count,breach_count_90,avg_occupancy,median_nightly_price,total_revenue,entire_home_share,breach_rate_90
Barking and Dagenham,57,32,4,0.07782978723404255,133.3,280140.0,0.5614,0.125
Barnet,263,162,33,0.07338502673796791,128.6,2026028.0,0.616,0.2037
Bexley,61,28,6,0.07428888888888889,86.7,305884.0,0.459,0.2143
Brent,353,205,38,0.0994765625,124.69999999999999,2927616.0,0.5807,0.1854
Bromley,88,55,13,0.0887391304347826,126.3,589106.0,0.625,0.2364
Camden,770,561,126,0.1371098696461825,224.8,11854405.0,0.7286,0.2246
Croydon,159,71,17,0.10390350877192983,96.05000000000001,884154.0,0.4465,0.2394
Ealing,216,125,29,0.1304601226993865,120.2,1899517.0,0.5787,0.232
Enfield,67,30,8,0.13336,89.75,384909.0,0.4478,0.2667
Greenwich,204,125,15,0.05564827586206897,141.4,1225127.0,0.6127,0.12
Hackney,563,410,89,0.10473164556962025,172.5,6017350.0,0.7282,0.2171
Hammersmith and Fulham,477,371,84,0.11314749262536873,209.7,6367107.0,0.7778,0.2264
Haringey,222,136,33,0.13115243902439025,118.25,1932808.0,0.6126,0.2426
Harrow,64,35,4,0.0842,117.4,364005.0,0.5469,0.1143
Havering,39,23,3,0.052264705882352935,150.8,238120.0,0.5897,0.1304
Hillingdon,93,43,5,0.056205882352941175,103.05,439376.0,0.4624,0.1163
Hounslow,167,101,15,0.07353982300884956,124.3,978167.0,0.6048,0.1485
Islington,487,348,98,0.13910810810810811,181.75,7012162.0,0.7146,0.2816
Kensington and Chelsea,787,690,157,0.12812072072072073,280.4,17530641.0,0.8767,0.2275
Kingston upon Thames,72,44,6,0.07388888888888889,120.8,540871.0,0.6111,0.1364
Lambeth,508,328,80,0.1473,156.15,6531910.0,0.6457,0.2439
Lewisham,248,153,28,0.09527748691099476,124.4,1777252.0,0.6169,0.183
Merton,134,80,15,0.07615625,162.55,995512.0,0.597,0.1875
Newham,258,126,24,0.09548648648648649,112.3,1803807.0,0.4884,0.1905
Redbridge,86,41,9,0.07617543859649122,106.7,509757.0,0.4767,0.2195
Richmond upon Thames,125,91,19,0.10321505376344087,169.0,1598126.0,0.728,0.2088
Southwark,543,339,76,0.1373551637279597,152.9,6359081.0,0.6243,0.2242
Sutton,38,18,8,0.13193548387096773,86.2,251907.0,0.4737,0.4444
Tower Hamlets,768,471,122,0.13208453237410073,166.45,9203427.0,0.6133,0.259
Waltham Forest,195,115,31,0.11485034013605441,118.2,1820409.0,0.5897,0.2696
Wandsworth,511,336,67,0.10046428571428573,184.35000000000002,5258151.0,0.6575,0.1994
Westminster,976,811,220,0.14507703703703706,280.8,22241300.0,0.8309,0.2713
