city,geo_key,geo_level,str_density,active_listings,entire_home_count,median_nightly_price,p25_price,p75_price,avg_occupancy,total_revenue,breach_count_90,breach_count_60,breach_count_30,reside_unregistered_count,multi_listing_host_count,commercial_host_share,entire_home_share,multi_listing_host_share,active_share,breach_rate_90,breach_rate_60,breach_rate_30,reside_unregistered_share,professional_management_share
barcelona,Can Baró,subdivision,7,6,4,81.6,72.25,153.75,0.1951,154039.0,2,3,4,0,3,0.1429,0.5714,0.4286,0.8571,0.5,0.75,1.0,0.0,0.1667
barcelona,Diagonal Mar i el Front Marítim del Poblenou,subdivision,19,10,13,215.7,171.9,323.9,0.105,332844.0,4,5,5,6,8,0.1053,0.6842,0.4211,0.5263,0.3077,0.3846,0.3846,0.4615,0.125
barcelona,Gothic Quarter,subdivision,160,90,71,115.3,72.45,205.15,0.1091,1767334.0,18,23,26,31,75,0.2125,0.4438,0.4688,0.5625,0.2535,0.3239,0.3662,0.4366,0.1061
barcelona,Horta,subdivision,1,0,0,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,,,0.0
barcelona,Hostafrancs,subdivision,32,16,14,93.1,57.9,183.05,0.1913,353171.0,4,5,5,7,15,0.2812,0.4375,0.4688,0.5,0.2857,0.3571,0.3571,0.5,0.0
barcelona,Montbau,subdivision,2,0,1,,,,,0.0,0,0,0,1,0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,
barcelona,Navas,subdivision,7,4,4,138.4,56.35,246.675,0.2195,118746.0,2,2,3,1,3,0.1429,0.5714,0.4286,0.5714,0.5,0.5,0.75,0.25,0.25
barcelona,Pedralbes,subdivision,3,2,2,182.45,158.475,206.425,0.1055,36927.0,0,0,1,1,2,0.0,0.6667,0.6667,0.6667,0.0,0.0,0.5,0.5,0.0
barcelona,Porta,subdivision,2,1,0,43.4,43.4,43.4,0.089,8601.0,0,0,0,0,0,0.0,0.0,0.0,0.5,,,,,0.0
barcelona,Provençals del Poblenou,subdivision,15,8,10,141.25,93.5,201.55,0.1255,139717.0,4,5,5,3,5,0.1333,0.6667,0.3333,0.5333,0.4,0.5,0.5,0.3,0.0
barcelona,Sant Andreu de Palomar,subdivision,9,2,5,43.6,28.1,68.175,0.0797,41036.0,1,1,1,3,5,0.4444,0.5556,0.5556,0.2222,0.2,0.2,0.2,0.6,0.0
barcelona,Sant Antoni,subdivision,79,54,51,219.95,120.9,319.1,0.2171,2477340.0,26,28,29,13,47,0.3291,0.6456,0.5949,0.6835,0.5098,0.549,0.5686,0.2549,0.3488
barcelona,Sant Gervasi - Galvany,subdivision,44,35,32,182.6,134.1,243.1,0.1678,1062248.0,15,17,21,5,29,0.3182,0.7273,0.6591,0.7955,0.4688,0.5312,0.6562,0.1562,0.25
barcelona,Sant Gervasi - la Bonanova,subdivision,9,5,6,195.95,79.05,271.45,0.0959,161221.0,3,3,3,2,4,0.3333,0.6667,0.4444,0.5556,0.5,0.5,0.5,0.3333,0.0
barcelona,Sant Martí de Provençals,subdivision,10,4,2,48.6,46.6,50.2,0.0,6668.0,0,0,0,1,3,0.1,0.2,0.3,0.4,0.0,0.0,0.0,0.5,0.0
barcelona,"Sant Pere, Santa Caterina i la Ribera",subdivision,163,94,100,119.85,67.625,196.875,0.1226,1606504.0,31,35,40,39,76,0.1779,0.6135,0.4663,0.5767,0.31,0.35,0.4,0.39,0.2
barcelona,Sants,subdivision,44,27,25,134.2,82.675,229.1,0.2063,872828.0,11,13,13,7,17,0.2045,0.5682,0.3864,0.6136,0.44,0.52,0.52,0.28,0.2609
barcelona,Sants-Badal,subdivision,34,18,16,60.4,48.05,170.7,0.1381,223170.0,6,6,7,5,10,0.0882,0.4706,0.2941,0.5294,0.375,0.375,0.4375,0.3125,0.2143
barcelona,Sarrià,subdivision,7,6,5,160.05,139.0,205.475,0.1167,74923.0,1,1,2,0,4,0.4286,0.7143,0.5714,0.8571,0.2,0.2,0.4,0.0,0.5
barcelona,Superilla Sant Antoni,subdivision,27,17,20,192.65,120.65,262.75,0.205,628058.0,9,10,10,5,14,0.3333,0.7407,0.5185,0.6296,0.45,0.5,0.5,0.25,0.2353
barcelona,Torre Baró,subdivision,3,0,0,212.4,212.4,212.4,0.0,0.0,0,0,0,0,2,0.0,0.0,0.6667,0.0,,,,,0.0
barcelona,Vallcarca i els Penitents,subdivision,15,8,8,95.2,73.9,116.4,0.1024,113342.0,3,4,5,1,5,0.0667,0.5333,0.3333,0.5333,0.375,0.5,0.625,0.125,0.0
barcelona,"Vallvidrera, el Tibidabo i les Planes",subdivision,4,3,1,52.2,48.75,54.25,0.0593,17008.0,1,1,1,0,0,0.0,0.25,0.0,0.75,1.0,1.0,1.0,0.0,0.0
barcelona,Verdun,subdivision,4,2,1,83.55,72.225,94.875,0.011,5709.0,0,0,0,0,0,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0
barcelona,Vilapicina i la Torre Llobeta,subdivision,9,6,5,95.6,80.625,115.675,0.1352,42183.0,1,3,4,0,4,0.1111,0.5556,0.4444,0.6667,0.2,0.6,0.8,0.0,0.0
barcelona,el Baix Guinardó,subdivision,18,13,9,80.2,62.6,210.05,0.2465,394576.0,5,6,8,0,4,0.1111,0.5,0.2222,0.7222,0.5556,0.6667,0.8889,0.0,0.1818
