city,geo_key,recent_active,recent_revenue,prior_active,prior_revenue,active_growth_pct,revenue_growth_pct
barcelona,Can Baró,6.0,8778.333333333334,5.0,14625.0,20.0,-39.98
london,Greenford,5.666666666666667,3695.1666666666665,5.0,4442.0,13.33,-16.81
london,Abbey Wood,6.5,4787.5,5.833333333333333,5040.0,11.43,-5.01
london,Gants Hill,5.5,7942.5,5.0,13511.666666666666,10.0,-41.22
london,North Sheen,10.0,8711.833333333334,9.833333333333334,19660.0,1.69,-55.69
london,Earlsfield,13.666666666666666,24511.666666666668,13.5,31707.833333333332,1.23,-22.7
barcelona,la Font de la Guatlla,9.0,27400.666666666668,9.0,43386.166666666664,0.0,-36.84
london,Edmonton,5.0,4860.5,5.0,8040.0,0.0,-39.55
london,East Sheen,6.0,8280.166666666666,6.0,9813.5,0.0,-15.62
barcelona,la Sagrera,5.0,11060.333333333334,5.0,9022.5,0.0,22.59
barcelona,les Corts,21.166666666666668,29723.0,21.5,58216.833333333336,-1.55,-48.94
london,Finchley,8.166666666666666,1637.6666666666667,8.333333333333334,6933.166666666667,-2.0,-76.38
london,Highams Park,9.166666666666666,15716.666666666666,9.5,19005.333333333332,-3.51,-17.3
london,Selhurst,8.666666666666666,8066.5,9.0,8935.5,-3.7,-9.73
london,Clapton,30.0,29211.666666666668,31.333333333333332,60828.0,-4.26,-51.98
